Study ,BSI,MTB BSI,Malaria
Jacob 2009,48/382 (13%),156/382 (22%),34.8  (15%)
Jacob 2012,83/671 (12%),104/576 (18%),83/671 (12%)
Waitt 2015,33/213 (15%),ND,26/213 (12%)
Ssekitoleko  2011 (1),ND,ND,ND
Ssekitoleko  2011 (2),39/150 (26%),ND,7/150 (5%)
Chimese 2012,27/161 (17%),ND,ND
Andrews 2014,26/109 (24%),32/81 (40%),2/109 (2%)
Auma 2013,41/216 (19%),ND,9/216 (4%)
Andrews 2017,29/209 (14%),43/187 (23%),3/47 (6%)
Huson  2014,39/384 (10%),NR,130/384 (33%)
Amir 2016,ND,ND,ND
TOTAL,365/2493 (15%),234/1093 (21%),311/2139 (15%)