"","Aac3_IIa","Aac3_IId","Aac6Ib_cr","AadA16","AadA1","AadA1_pm","AadA17","AadA2","AadA24","AadA5","AmpC1","AmpC2","AMPH","Aph3","Arr2","Arr3","CARB_2","Cat_pC221","CatA1","CatA2","CatB3","CatB4","CmlA1","CmlA5","CMY_42","CMY_94","CTX_M_1","CTX_M_15","CTX_M_3","CTX_M_55","CTX_M_14","CTX_M_16","CTX_M_27","CTX_M_65","CTX_M_9","DfrA12","DfrA1","DfrA15","DfrA16","DfrA27","DfrA14","DfrA30","DfrA5","DfrA17","DfrA8","ErmB","FloR","FosA","LAP_2","MefB","MphA","MrdA","NDM_5","OXA_1","OXA_10","QepA","Qnr_S1","QnrS2","QnrB1","QnrB19","QnrB6","RmtB","Sat_2A","SHV_12","StrA","StrB","SulI","SulII","SulIII","TEM_135","TEM_33","TEM_90","TetA","TetB","TetD","TEM_1","GyrA","GyrB","ParC","ParE"
"Aac3_IIa",1,0,0.415730337078652,0,0.0346820809248555,0.0125,0.0310077519379846,0.0279329608938548,0,0.27027027027027,0.151832460732984,0.169133192389006,0.169133192389006,0.0120481927710844,0.0125,0,0,0,0.144827586206897,0.0123456790123457,0,0.5,0,0.0125,0,0.00813008130081305,0,0.246875,0,0,0,0,0.00628930817610063,0,0,0.0306748466257669,0.00649350649350644,0.0125,0,0,0.0280898876404494,0,0.0123456790123457,0.263157894736842,0.0192307692307693,0,0.0617283950617284,0,0.0125,0,0.224242424242424,0.169133192389006,0,0.392670157068063,0.0125,0.016,0.00735294117647056,0,0,0,0,0,0,0,0.187654320987654,0.173210161662818,0.226114649681529,0.175398633257403,0,0,0,0,0.0876494023904383,0.183391003460208,0,0.114803625377644,0.208219178082192,0,0.251655629139073,0.236734693877551
"Aac3_IId",0,1,0.334763948497854,0.00714285714285712,0.106976744186047,0,0.0909090909090909,0.179611650485437,0,0.333333333333333,0.279487179487179,0.293868921775899,0.293868921775899,0.00704225352112675,0,0,0,0,0.136363636363636,0.00714285714285712,0.114285714285714,0.262222222222222,0.00598802395209586,0,0.0071942446043165,0.288732394366197,0,0.387878787878788,0,0,0.012987012987013,0.0503597122302158,0.0138888888888888,0,0.0130718954248366,0.182291666666667,0.120418848167539,0,0,0.00714285714285712,0.0521739130434783,0.0071942446043165,0,0.352739726027397,0.0509554140127388,0,0,0.00602409638554213,0,0,0.361764705882353,0.293868921775899,0.0071942446043165,0.315789473684211,0,0.0568181818181818,0.00512820512820511,0,0.0143884892086331,0,0.00714285714285712,0,0.124324324324324,0,0.313868613138686,0.297482837528604,0.309734513274336,0.303854875283447,0.00595238095238093,0,0,0.0143884892086331,0.110367892976589,0.35472972972973,0.0138888888888888,0.45578231292517,0.362397820163488,0,0.332317073170732,0.335793357933579
"Aac6Ib_cr",0.415730337078652,0.334763948497854,1,0.0116279069767442,0.0265151515151515,0,0.0368663594470046,0.0337078651685393,0,0.600760456273764,0.381818181818182,0.363636363636364,0.363636363636364,0.0114942528735632,0,0.0058139534883721,0,0,0.136563876651982,0,0.0988372093023255,0.82183908045977,0.005,0,0.0058139534883721,0.248554913294798,0,0.534375,0,0,0.00531914893617025,0,0.0120481927710844,0,0.00534759358288772,0.0276679841897233,0.0122950819672131,0.0058139534883721,0,0.0116279069767442,0.0185185185185185,0,0,0.602996254681648,0.0588235294117647,0,0.0289017341040463,0.00502512562814073,0,0,0.467455621301775,0.363636363636364,0.0058139534883721,0.894179894179894,0,0.0138888888888888,0,0,0,0,0.0116279069767442,0,0.00836820083682011,0,0.400977995110025,0.363636363636364,0.441087613293051,0.372460496613995,0.00497512437810943,0,0,0,0.147798742138365,0.418300653594771,0,0.351906158357771,0.464285714285714,0,0.561461794019934,0.586345381526104
"AadA16",0,0.00714285714285712,0.0116279069767442,1,0,0,0,0,0,0,0.00277008310249305,0.00422832980972521,0.00422832980972521,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.00626959247648906,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00389105058365757,0,0,0,0,0,0,0,0.00422832980972521,0,0,0,0,0,0,0,0,1,0,0,0,0.00248756218905477,0.00233100233100236,0.00655737704918036,0.00228832951945079,0,0,0,0,0.0103626943005182,0.00380228136882133,0,0.00344827586206897,0.0055401662049861,0,0.00671140939597314,0
"AadA1",0.0346820809248555,0.106976744186047,0.0265151515151515,0,1,0,0,0.309677419354839,0,0.0265486725663717,0.170918367346939,0.209302325581395,0.209302325581395,0.00980392156862742,0,0,0.0101010101010101,0.0101010101010101,0.101190476190476,0,0.00869565217391299,0.0209205020920502,0.28,0,0,0.00704225352112675,0.01,0.164345403899721,0.118811881188119,0,0.12621359223301,0,0.0170454545454546,0.0101010101010101,0.105769230769231,0.222222222222222,0.596330275229358,0.0101010101010101,0.0101010101010101,0,0.0631578947368421,0,0.0202020202020202,0.0260115606936416,0.0330578512396694,0,0,0.257425742574257,0,0.0101010101010101,0.0874035989717223,0.209302325581395,0,0.0594795539033457,0,0.00689655172413794,0.0469798657718121,0.0101010101010101,0,0,0,0.0101010101010101,0.570093457943925,0.0416666666666666,0.187648456057007,0.192307692307692,0.103825136612022,0.175824175824176,0.29,0.0101010101010101,0,0,0.110266159695817,0.172077922077922,0.0495049504950495,0.1513353115727,0.144278606965174,0.0202020202020202,0.0474934036939314,0.0627062706270627
"AadA1_pm",0.0125,0,0,0,0,1,0,0.00961538461538458,0,0,0.00277777777777777,0.0021141649048626,0.0021141649048626,0,1,0,0,0,0,0.5,0,0.00689655172413794,0,1,0,0,0,0.00313479623824453,0,0,0,0,0,0,0,0.0113636363636364,0,0,0,0,0.00970873786407767,0,0,0,0,0,0,0,1,0,0.00308641975308643,0.0021141649048626,0,0.0053763440860215,1,0.0212765957446809,0.0175438596491229,0,0,0,0,0,0,0,0.00249376558603487,0.00233644859813087,0.00327868852459012,0.00229357798165142,0,0,0,0,0.00518134715025909,0,0,0.0034602076124568,0.00277008310249305,0,0.00335570469798663,0.00448430493273544
"AadA17",0.0310077519379846,0.0909090909090909,0.0368663594470046,0,0,0,1,0.509615384615385,0,0.0168350168350169,0.14404432132964,0.112050739957717,0.112050739957717,0,0,0,0,0,0.275229357798165,0.0185185185185185,0,0.0366492146596858,0.0123456790123457,0,0,0.0104166666666666,0,0.0628571428571428,0,0,0.0144927536231884,0,0.316831683168317,0,0,0.566666666666667,0.024,0,0,0,0.0469798657718121,0,0,0.0164473684210527,0.0394736842105263,0.0877192982456141,0,0.0125,0,0,0.156441717791411,0.112050739957717,0,0.0391304347826087,0,0.639344262295082,0,0,0,0,0,0,0.0166666666666667,0,0.104622871046229,0.110854503464203,0.173770491803279,0.111363636363636,0.0121951219512195,0,0,0,0.165876777251185,0.171003717472119,0.0344827586206896,0.103225806451613,0.143646408839779,0,0.154605263157895,0.2
"AadA2",0.0279329608938548,0.179611650485437,0.0337078651685393,0,0.309677419354839,0.00961538461538458,0.509615384615385,1,0,0.0291545189504373,0.217847769028871,0.219873150105708,0.219873150105708,0,0.00961538461538458,0,0.00961538461538458,0.00961538461538458,0.225806451612903,0.0192307692307693,0.0083333333333333,0.033195020746888,0.278846153846154,0.00961538461538458,0,0.00680272108843538,0,0.119047619047619,0.113207547169811,0,0.130841121495327,0,0.23489932885906,0.00961538461538458,0.00840336134453779,0.846153846153846,0.147435897435897,0,0.00961538461538458,0,0.0670103092783505,0,0,0.0285714285714286,0.0236220472440944,0.0462962962962963,0,0.257142857142857,0.00961538461538458,0.00961538461538458,0.219373219373219,0.219873150105708,0,0.0394265232974911,0.00961538461538458,0.398148148148148,0.0125786163522013,0.00961538461538458,0,0,0,0.00961538461538458,0.145695364238411,0.00775193798449614,0.193853427895981,0.203619909502262,0.282131661442006,0.179039301310044,0.276190476190476,0.00961538461538458,0,0,0.242677824267782,0.232323232323232,0.0277777777777778,0.169642857142857,0.201550387596899,0.00952380952380949,0.151862464183381,0.193430656934307
"AadA24",0,0,0,0,0,0,0,0,1,0,0.00555555555555554,0.00422832980972521,0.00422832980972521,0,0,0,0,0,0.0232558139534884,0,0,0,0,0,0,0,0,0.00626959247648906,0,0,0,0,0,0,0,0,0.0266666666666666,0,0,0,0.00961538461538458,0,0,0,0.037037037037037,0,0,0,0,0,0.00307692307692309,0.00422832980972521,0,0.010752688172043,0,0,0,0,0,0,0,0,0.0289855072463768,0,0.00248756218905477,0.00467289719626163,0,0.00458715596330272,0,0,0,0,0,0.00763358778625955,0,0.00344827586206897,0.0055401662049861,0,0.00671140939597314,0.00896860986547088
"AadA5",0.27027027027027,0.333333333333333,0.600760456273764,0,0.0265486725663717,0,0.0168350168350169,0.0291545189504373,0,1,0.446555819477435,0.526427061310782,0.526427061310782,0.00796812749003983,0,0,0,0,0.109271523178808,0,0.0640000000000001,0.521235521235521,0.0145985401459854,0,0.00401606425702816,0.172,0,0.460154241645244,0.00381679389312972,0,0.0191570881226054,0.0281124497991968,0.146341463414634,0.00401606425702816,0.00378787878787878,0.0181268882175226,0.0125,0.00401606425702816,0,0,0.0634441087613293,0.00401606425702816,0,0.964980544747082,0.0456273764258555,0.0117647058823529,0.02,0.0146520146520146,0,0.00401606425702816,0.695266272189349,0.526427061310782,0.00401606425702816,0.564748201438849,0,0.0171821305841925,0.00657894736842102,0,0,0,0,0.00401606425702816,0.00952380952380949,0.0784313725490196,0.522248243559719,0.528216704288939,0.653731343283582,0.539325842696629,0.0145454545454545,0.00401606425702816,0,0,0.277456647398844,0.435393258426966,0.00787401574803148,0.427055702917772,0.635388739946381,0.004,0.652567975830816,0.475
"AmpC1",0.151832460732984,0.279487179487179,0.381818181818182,0.00277008310249305,0.170918367346939,0.00277777777777777,0.14404432132964,0.217847769028871,0.00555555555555554,0.446555819477435,1,0.761099365750529,0.761099365750529,0.0111111111111111,0.00277777777777777,0,0,0.00277777777777777,0.221917808219178,0.00555555555555554,0.0472222222222223,0.315104166666667,0.0775623268698061,0.00277777777777777,0.00277777777777777,0.119113573407202,0.00555555555555554,0.536199095022624,0.0388888888888889,0.00277777777777777,0.0472222222222223,0.0194444444444445,0.136950904392765,0.00277777777777777,0.0444444444444444,0.178947368421053,0.118251928020566,0.00277777777777777,0,0.00277008310249305,0.205729166666667,0.00277777777777777,0.00277008310249305,0.463182897862233,0.0722222222222222,0.025,0.0166666666666667,0.0777777777777777,0.00277777777777777,0.00277777777777777,0.554545454545455,0.761099365750529,0.00277777777777777,0.421875,0.00277777777777777,0.130555555555556,0.120967741935484,0.00277777777777777,0,0,0.00277008310249305,0.00277777777777777,0.102827763496144,0.0575342465753425,0.657952069716776,0.698275862068966,0.507936507936508,0.704496788008565,0.0803324099722992,0.00277777777777777,0.00277777777777777,0,0.295081967213115,0.59079283887468,0.0166204986149584,0.516355140186916,0.588105726872247,0.00555555555555554,0.548235294117647,0.592896174863388
"AmpC2",0.169133192389006,0.293868921775899,0.363636363636364,0.00422832980972521,0.209302325581395,0.0021141649048626,0.112050739957717,0.219873150105708,0.00422832980972521,0.526427061310782,0.761099365750529,1,1,0.0084566596194503,0.0021141649048626,0.0021141649048626,0.0021141649048626,0.0021141649048626,0.181818181818182,0.00422832980972521,0.0359408033826638,0.306553911205074,0.0613107822410148,0.0021141649048626,0.0021141649048626,0.0930232558139534,0.00422832980972521,0.674418604651163,0.0295983086680761,0.0021141649048626,0.0359408033826638,0.014799154334038,0.169133192389006,0.0021141649048626,0.0338266384778013,0.186046511627907,0.158562367864693,0.0021141649048626,0.0021141649048626,0.00422832980972521,0.217758985200846,0.0021141649048626,0.00422832980972521,0.54122621564482,0.054968287526427,0.0190274841437632,0.0126849894291755,0.0591966173361522,0.0021141649048626,0.0021141649048626,0.684989429175476,1,0.0021141649048626,0.39323467230444,0.0021141649048626,0.0993657505285412,0.120507399577167,0.0021141649048626,0.00422832980972521,0.00422832980972521,0.00422832980972521,0.0021141649048626,0.145877378435518,0.054968287526427,0.847780126849894,0.904862579281184,0.644820295983087,0.921775898520085,0.0634249471458774,0.0021141649048626,0.0021141649048626,0.00422832980972521,0.408033826638478,0.553911205073996,0.014799154334038,0.610993657505285,0.763213530655391,0.00422832980972521,0.630021141649049,0.471458773784355
"AMPH",0.169133192389006,0.293868921775899,0.363636363636364,0.00422832980972521,0.209302325581395,0.0021141649048626,0.112050739957717,0.219873150105708,0.00422832980972521,0.526427061310782,0.761099365750529,1,1,0.0084566596194503,0.0021141649048626,0.0021141649048626,0.0021141649048626,0.0021141649048626,0.181818181818182,0.00422832980972521,0.0359408033826638,0.306553911205074,0.0613107822410148,0.0021141649048626,0.0021141649048626,0.0930232558139534,0.00422832980972521,0.674418604651163,0.0295983086680761,0.0021141649048626,0.0359408033826638,0.014799154334038,0.169133192389006,0.0021141649048626,0.0338266384778013,0.186046511627907,0.158562367864693,0.0021141649048626,0.0021141649048626,0.00422832980972521,0.217758985200846,0.0021141649048626,0.00422832980972521,0.54122621564482,0.054968287526427,0.0190274841437632,0.0126849894291755,0.0591966173361522,0.0021141649048626,0.0021141649048626,0.684989429175476,1,0.0021141649048626,0.39323467230444,0.0021141649048626,0.0993657505285412,0.120507399577167,0.0021141649048626,0.00422832980972521,0.00422832980972521,0.00422832980972521,0.0021141649048626,0.145877378435518,0.054968287526427,0.847780126849894,0.904862579281184,0.644820295983087,0.921775898520085,0.0634249471458774,0.0021141649048626,0.0021141649048626,0.00422832980972521,0.408033826638478,0.553911205073996,0.014799154334038,0.610993657505285,0.763213530655391,0.00422832980972521,0.630021141649049,0.471458773784355
"Aph3",0.0120481927710844,0.00704225352112675,0.0114942528735632,0,0.00980392156862742,0,0,0,0,0.00796812749003983,0.0111111111111111,0.0084566596194503,0.0084566596194503,1,0,0,0,0,0.0112359550561798,0,0,0.0067567567567568,0,0,0,0,0,0.00937500000000002,0,0,0,0,0.0120481927710844,0,0,0,0.0128205128205128,0,0,0,0,0,0,0.0116731517509727,0,0.0833333333333334,0,0,0,0,0.00613496932515334,0.0084566596194503,0,0.0106382978723404,0,0.02,0,0,0,0,0,0,0.0138888888888888,0,0.0099750623441397,0.00934579439252337,0.00651465798045603,0.00917431192660545,0,0,0,0,0.00510204081632648,0.0152671755725191,0,0.00687285223367695,0.0110803324099723,0,0.0134228187919463,0.00888888888888884
"Arr2",0.0125,0,0,0,0,1,0,0.00961538461538458,0,0,0.00277777777777777,0.0021141649048626,0.0021141649048626,0,1,0,0,0,0,0.5,0,0.00689655172413794,0,1,0,0,0,0.00313479623824453,0,0,0,0,0,0,0,0.0113636363636364,0,0,0,0,0.00970873786407767,0,0,0,0,0,0,0,1,0,0.00308641975308643,0.0021141649048626,0,0.0053763440860215,1,0.0212765957446809,0.0175438596491229,0,0,0,0,0,0,0,0.00249376558603487,0.00233644859813087,0.00327868852459012,0.00229357798165142,0,0,0,0,0.00518134715025909,0,0,0.0034602076124568,0.00277008310249305,0,0.00335570469798663,0.00448430493273544
"Arr3",0,0,0.0058139534883721,0.5,0,0,0,0,0,0,0,0.0021141649048626,0.0021141649048626,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00313479623824453,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0021141649048626,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.00327868852459012,0,0,0,0,0,0.00518134715025909,0,0,0,0.00277008310249305,0,0.00335570469798663,0
"CARB_2",0,0,0,0,0.0101010101010101,0,0,0.00961538461538458,0,0,0,0.0021141649048626,0.0021141649048626,0,0,0,1,0,0,0,0,0,0.0344827586206896,0,0,0,0,0.00313479623824453,0,0,0,0,0,0,0,0,0,0,1,0,0.00970873786407767,0,0,0,0,0,0,0,0,0,0,0.0021141649048626,0,0,0,0,0.0175438596491229,0,0,0,0,0,0,0,0.00249376558603487,0.00233644859813087,0,0.00229357798165142,0.0333333333333333,0,0,0,0.00518134715025909,0,0,0.0034602076124568,0,0,0,0
"Cat_pC221",0,0,0,0,0.0101010101010101,0,0,0.00961538461538458,0,0,0.00277777777777777,0.0021141649048626,0.0021141649048626,0,0,0,0,1,0,0,0,0,0.0344827586206896,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0.0021141649048626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0.00518134715025909,0,0,0,0,0,0,0
"CatA1",0.144827586206897,0.136363636363636,0.136563876651982,0,0.101190476190476,0,0.275229357798165,0.225806451612903,0.0232558139534884,0.109271523178808,0.221917808219178,0.181818181818182,0.181818181818182,0.0112359550561798,0,0,0,0,1,0,0.00980392156862742,0.137931034482759,0.00877192982456143,0,0,0,0,0.184210526315789,0,0,0,0.0568181818181818,0.136986301369863,0,0.00990099009900991,0.251798561151079,0.133802816901408,0,0,0,0.0988372093023255,0,0.0232558139534884,0.103225806451613,0.087378640776699,0.0439560439560439,0,0,0,0,0.227544910179641,0.181818181818182,0,0.208888888888889,0,0.242990654205608,0,0,0,0,0,0,0.139705882352941,0,0.162291169451074,0.178899082568807,0.177710843373494,0.180995475113122,0.00869565217391299,0,0,0,0.0813953488372093,0.288888888888889,0.021978021978022,0.194267515923567,0.221311475409836,0,0.246753246753247,0.30379746835443
"CatA2",0.0123456790123457,0.00714285714285712,0,0,0,0.5,0.0185185185185185,0.0192307692307693,0,0,0.00555555555555554,0.00422832980972521,0.00422832980972521,0,0.5,0,0,0,0,1,0,0.00684931506849318,0,0.5,0,0,0,0.00312500000000004,0,0,0,0,0.0123456790123457,0,0,0.0227272727272727,0,0,0,0,0.0194174757281553,0,0,0,0,0,0,0,0.5,0,0.00617283950617287,0.00422832980972521,0,0.00534759358288772,0.5,0.0425531914893617,0.0172413793103449,0,0,0,0,0,0,0,0.00498753117206985,0.00467289719626163,0.00655737704918036,0.00458715596330272,0,0,0,0,0.0103626943005182,0.00380228136882133,0,0.00692041522491349,0.0055401662049861,0,0.00671140939597314,0.00896860986547088
"CatB3",0,0.114285714285714,0.0988372093023255,0,0.00869565217391299,0,0,0.0083333333333333,0,0.0640000000000001,0.0472222222222223,0.0359408033826638,0.0359408033826638,0,0,0,0,0,0.00980392156862742,0,1,0,0.0222222222222223,0,0,0,0,0.0532915360501567,0,0,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0.06640625,0,0,0,0.0227272727272727,0,0,0.0524691358024691,0.0359408033826638,0,0.0913978494623656,0,0,0,0,0,0,0,0,0,0,0.0398009950248757,0.0348837209302325,0.00311526479750779,0.0366132723112128,0.0217391304347826,0,0,0,0.0714285714285714,0.00359712230215825,0,0.0551724137931034,0.0470914127423823,0,0.0570469798657718,0.0762331838565022
"CatB4",0.5,0.262222222222222,0.82183908045977,0,0.0209205020920502,0.00689655172413794,0.0366492146596858,0.033195020746888,0,0.521235521235521,0.315104166666667,0.306553911205074,0.306553911205074,0.0067567567567568,0.00689655172413794,0,0,0,0.137931034482759,0.00684931506849318,0,1,0,0.00689655172413794,0,0.294520547945206,0,0.45,0,0,0,0,0.0135135135135135,0,0,0.0309734513274337,0.00456621004566204,0.00689655172413794,0,0,0.0247933884297521,0,0,0.513207547169811,0.062111801242236,0,0.0342465753424658,0,0.00689655172413794,0,0.4,0.306553911205074,0,0.770053475935829,0.00689655172413794,0.0158730158730158,0.00497512437810943,0,0,0,0,0,0,0,0.341523341523342,0.311212814645309,0.442307692307692,0.317460317460317,0,0,0,0,0.104575163398693,0.398625429553265,0,0.307228915662651,0.39010989010989,0,0.471760797342193,0.489878542510122
"CmlA1",0,0.00598802395209586,0.005,0,0.28,0,0.0123456790123457,0.278846153846154,0,0.0145985401459854,0.0775623268698061,0.0613107822410148,0.0613107822410148,0,0,0,0.0344827586206896,0.0344827586206896,0.00877192982456143,0,0.0222222222222223,0,1,0,0,0,0,0.0057803468208093,0.387096774193548,0,0.4375,0,0.0092592592592593,0.0344827586206896,0,0.135922330097087,0.00970873786407767,0,0.0344827586206896,0,0.0393700787401575,0,0,0.0142348754448398,0,0,0,0.9,0,0.0344827586206896,0.00857142857142856,0.0613107822410148,0,0.00467289719626163,0,0.0133333333333333,0.0117647058823529,0.0344827586206896,0,0,0,0.0344827586206896,0,0.0185185185185185,0.0411622276029056,0.045766590389016,0.0470219435736677,0.0242290748898678,0.966666666666667,0.0344827586206896,0,0,0.099009900990099,0.00692041522491349,0,0.0159744408945687,0.0103626943005182,0.0333333333333333,0.0092592592592593,0.0120481927710844
"CmlA5",0.0125,0,0,0,0,1,0,0.00961538461538458,0,0,0.00277777777777777,0.0021141649048626,0.0021141649048626,0,1,0,0,0,0,0.5,0,0.00689655172413794,0,1,0,0,0,0.00313479623824453,0,0,0,0,0,0,0,0.0113636363636364,0,0,0,0,0.00970873786407767,0,0,0,0,0,0,0,1,0,0.00308641975308643,0.0021141649048626,0,0.0053763440860215,1,0.0212765957446809,0.0175438596491229,0,0,0,0,0,0,0,0.00249376558603487,0.00233644859813087,0.00327868852459012,0.00229357798165142,0,0,0,0,0.00518134715025909,0,0,0.0034602076124568,0.00277008310249305,0,0.00335570469798663,0.00448430493273544
"CMY_42",0,0.0071942446043165,0.0058139534883721,0,0,0,0,0,0,0.00401606425702816,0.00277777777777777,0.0021141649048626,0.0021141649048626,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390625,0,0,0,0,0,0,0.00308641975308643,0.0021141649048626,1,0,0,0,0,0,0,0,0,0,0,0,0.00249376558603487,0.00233644859813087,0,0.00229357798165142,0,0,0,0,0,0.00381679389312972,0,0.0034602076124568,0.00277008310249305,0,0.00335570469798663,0.00448430493273544
"CMY_94",0.00813008130081305,0.288732394366197,0.248554913294798,0,0.00704225352112675,0,0.0104166666666666,0.00680272108843538,0,0.172,0.119113573407202,0.0930232558139534,0.0930232558139534,0,0,0,0,0,0,0,0,0.294520547945206,0,0,0,1,0,0.137931034482759,0,0,0,0,0,0,0,0,0.00847457627118642,0,0,0,0,0,0,0.167315175097276,0.129032258064516,0,0,0,0,0,0.132307692307692,0.0930232558139534,0,0.229946524064171,0,0,0,0,0,0,0,0,0.0089285714285714,0,0.109725685785536,0.0976744186046512,0.140522875816993,0.100917431192661,0,0,0,0,0,0.16793893129771,0,0.152249134948097,0.121883656509695,0,0.1438127090301,0.191964285714286
