"name","Col","IncA_C","IncB","IncFIA","IncFIB","IncFIC","IncFII","IncHI1","IncHI2","IncI1","IncI2","IncL","IncN","IncR","IncX1","IncX2","IncX3","IncX4","IncY"
"26141_1_134",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_135",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_136",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_137",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_138",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_139",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_140",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_141",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_142",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_143",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_145",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_146",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_147",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_148",1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_149",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"26141_1_150",1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"26141_1_151",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_152",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_153",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_154",1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"26141_1_155",1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_156",1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"26141_1_157",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"26141_1_158",1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"26141_1_159",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_160",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_161",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_162",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"26141_1_164",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_165",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_166",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_168",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_169",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_170",1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"26141_1_171",1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"26141_1_172",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_173",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_174",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_175",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"26141_1_176",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_177",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_178",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_179",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_180",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_181",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_182",0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"26141_1_183",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_184",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"26141_1_186",0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"26141_1_187",0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"26141_1_189",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_190",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_191",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_192",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"26141_1_193",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"26141_1_194",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_195",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_196",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"26141_1_197",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_198",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_199",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_200",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_201",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_202",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_203",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_204",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"26141_1_205",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"26141_1_206",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_207",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_208",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_209",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_210",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_211",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_212",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_213",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_214",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_215",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_217",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_218",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_219",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_220",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"26141_1_221",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_222",1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"26141_1_223",1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"26141_1_224",1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"26141_1_225",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_226",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"26141_1_227",1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_228",1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_229",1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"26141_1_230",1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"26141_1_232",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_236",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_237",1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"26141_1_239",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_240",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_241",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_242",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_243",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_244",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_246",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_247",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_248",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_250",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_251",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_252",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"26141_1_253",1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"26141_1_254",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_255",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_256",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_257",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_258",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"26141_1_259",1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"26141_1_260",1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"26141_1_261",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_262",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_263",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"26141_1_265",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"26141_1_266",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"26141_1_267",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_268",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_270",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_271",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_272",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_273",1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"26141_1_274",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_275",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_276",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_277",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_278",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_279",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_280",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_282",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_283",0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"26141_1_284",0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"26141_1_285",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_286",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"26141_1_287",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"26141_1_288",0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"26141_1_289",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"26141_1_290",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"26141_1_291",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"26141_1_292",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_293",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_295",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_296",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"26141_1_297",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_298",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26141_1_299",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_1",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_100",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_102",0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"28099_1_103",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_104",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"28099_1_106",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_11",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_110",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_111",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_112",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"28099_1_114",1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"28099_1_115",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_116",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_118",1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"28099_1_119",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_120",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_123",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_125",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_127",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_128",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_129",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_131",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_132",0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"28099_1_133",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_135",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"28099_1_136",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_139",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_14",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_141",1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"28099_1_143",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_144",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_145",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_148",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"28099_1_149",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_151",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_152",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_153",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_155",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_156",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_157",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_159",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_160",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_161",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_163",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_165",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"28099_1_168",1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"28099_1_169",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_171",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_172",1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"28099_1_173",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_175",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_176",0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"28099_1_177",1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"28099_1_179",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_18",1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"28099_1_180",0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"28099_1_181",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_185",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_187",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_188",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_189",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"28099_1_19",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_191",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"28099_1_192",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"28099_1_193",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_195",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_196",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"28099_1_199",1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"28099_1_2",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_200",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_203",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_204",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_205",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
