Year,First author,Country,Population,Sample,E coli,K pneumoniae
2018,Guiral,Mozambique,A C IP,Blood urine,13/151 (9%),ND
2018,Karppinen,Angola,C IP OP,Wound swab,8/15 (53%),10/13 (77%)
2018,Kpoda,Burkina Faso,A C IP OP,Various,117/296 (40%),48/109 (44%)
2018,Onanuga ,Nigeria,A OP,Urine,4/18 (22%),30/45 (67%)
2018,Seni,Nigeria,A C IP OP,Various,41/60 (68%),ND
2018,Zeynudin,Ethiopia,NA IP OP,Various,13/13 (100%),30/31 (97%)
2017,Ampaire,Uganda,A C IP OP,Various,18/146 (12%),10/68 (15%)
2017,Andrew,Uganda,A C IP OP,Various,33/44 (75%),33/36 (92%)
2017,Archary,South Africa,C IP,Various,2/11 (18%),13/19 (68%)
2017,Henson,Kenya,A C IP OP,Blood,ND,101/198 (51%)
2017,Ibrahim,Nigeria,A C IP OP,Urine wound swab,68/140 (49%),76/108 (70%)
2017,Kassam,Tanzania,A C IP OP,Wound swab,6/14 (43%),8/11 (73%)
2017,Legese,Ethiopia,C IP,Blood urine,5/6 (83%),16/19 (84%)
2017,Manyahi,Tanzania,A C IP OP,Urine,15/110 (14%),9/27 (33%)
2017,Sangare,Mali,A C IP,Blood,20/31 (65%),20/26 (77%)
2017,Vasaikar,South Africa,A C IP OP,Various,ND,117/169 (69%)
2016,Abera,Ethiopia,A C IP OP,Blood urine,71/122 (58%),34/49 (69%)
2016,Agyekum,Ghana,A C IP OP,Blood urine,30/58 (52%),33/43 (77%)
2016,Breurec,Senegal,C IP,Blood CSF,ND,33/41 (80%)
2016,Buys,South Africa,C IP,Blood,ND,339/410 (83%)
2016,Eibach,Ghana,A C IP,Blood,5/50 (10%),34/41 (83%)
2016,Kabwe,Zambia,C IP,Blood,5/5 (100%),71/74 (96%)
2016,Leski,Sierra Leone,A C OP,Urine,0/13 (0%),9/15 (60%)
2016,Mohammed,Nigeria,A C IP OP,Various,41/172 (24%),59/178 (33%)
2016,Naas,Madagascar,C IP OP,Blood,0/7 (0%),11/14 (79%)
2016,Ndir,Senegal,C IP,Blood,7/12 (58%),33/40 (82%)
2016,Ouedraogo,Burkina Faso,A C IP OP,Various,121/202 (60%),46/70 (66%)
2016,Sangare,Mali,A C IP,Blood,8/11 (73%),10/14 (71%)
2016,Seni,Tanzania,A IP,Pertitoneal fluid,7/19 (37%),5/10 (50%)
2015,Dramowski,South Africa,C IP OP,Blood,14/97 (14%),119/154 (77%)
2015,Irenge,Democratic Republic of Congo,A C IP OP,Blood,9/54 (17%),10/21 (48%)
2015,Kateregga,Uganda,A C IP OP,Various,36/64 (56%),24/33 (73%)
2015,Opintan,Ghana,A C IP OP,Various,81/440 (18%),ND
2015,Pons,Mozambique,A C IP OP,Blood urine,ND,16/50 (32%)
2015,Rafa,Central african republic,A C IP,Wound swab,33/47 (70%),10/19 (53%)
2014,Adeyankinnu,Nigeria,A C IP OP,Various,36/135 (27%),16/62 (26%)
2014,Irenge,Democratic Republic of Congo,A C IP OP,Urine,57/376 (15%),ND
2014,Scherbaum,Gabon,A IP,Various,5/14 (36%),3/6 (50%)
2014,Yusuf,Nigeria,A IP OP,Various,47/278 (17%),19/128 (15%)
2013,Alabi,Gabon,A C IP OP,Various,ND,43/85 (51%)
2013,Ibrahim,Sudan,A C IP OP,Various,70/232 (30%),ND
2013,Obeng-Nkrumah,Ghana,A C IP OP,Various,55/126 (44%),59/96 (61%)
2013,Raji,Nigeria,A C IP OP,Various,21/43 (49%),12/32 (38%)
2013,van der Meeren,Mozambique,C IP,Urine,9/14 (64%),15/17 (88%)
2011,Idowu,Nigeria,A IP,Wound swab,6/15 (40%),ND
2010,Moyo,Tanzania,A C IP OP,Urine,54/138 (39%),ND
2009,Bercion,Central African Republic,A C OP,Urine,29/357 (8%),17/57 (30%)
2009,Mshana,Tanzania,A C IP OP,Various,31/127 (24%),58/91 (64%)
2007,Sire,Senegal,A C IP OP,Urine,38/1010 (4%),ND
2005,Blomberg,Tanzania,C IP OP,Blood,9/36 (25%),9/48 (19%)
2005,Gangoue Pieboji,Cameroon,A C IP,Various,13/91 (14%),12/64 (19%)
2005,Ndugulile,Tanzania,A IP,Various,4/13 (31%),2/2 (100%)
2004,Dromigny,Senegal,A C OP,Urine,2/233 (1%),1/34 (3%)
2002,Dromigny,Senegal,A C OP,Urine,1/386 (0%),6/97 (6%)